Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
1/1/18,51,PM2.5,Intermediate School 143,36-061-0115,AQS,7,35,.,51,28
1/2/18,57,NO2,Fort Lee Near Road,34-003-0010,AQS,7,33,22,56,57
1/3/18,107,NO2,Fort Lee Near Road,34-003-0010,AQS,11,29,.,69,107
1/4/18,52,PM2.5,MORRISANIA,36-005-0080,AQS,10,32,.,52,43
1/5/18,48,PM2.5,Intermediate School 143,36-061-0115,AQS,7,36,6,48,42
1/6/18,46,PM2.5,Intermediate School 143,36-061-0115,AQS,7,35,.,46,19
1/7/18,52,PM2.5,Intermediate School 143,36-061-0115,AQS,8,35,.,52,42
1/8/18,69,PM2.5,PFIZER LAB SITE,36-005-0133,AQS,10,27,27,69,56
1/9/18,75,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,33,.,75,48
1/10/18,84,NO2,Jersey City,34-017-1002,AQS,15,25,.,64,84
1/11/18,95,PM2.5,Elizabeth Lab,34-039-0004,AQS,23,32,37,95,83
1/12/18,58,NO2,Elizabeth Lab,34-039-0004,AQS,20,32,.,55,58
1/13/18,44,PM2.5,Intermediate School 143,36-061-0115,AQS,9,33,.,44,25
1/14/18,43,PM2.5,Intermediate School 143,36-061-0115,AQS,6,37,6,43,27
1/15/18,64,NO2,Fort Lee Near Road,34-003-0010,AQS,8,33,.,58,64
1/16/18,69,PM2.5,PS 19,36-061-0128,AQS,13,25,.,69,47
1/17/18,62,PM2.5,Jersey City Firehouse,34-017-1003,AQS,13,26,15,62,47
1/18/18,76,NO2,Fort Lee Near Road,34-003-0010,AQS,8,31,.,58,76
1/19/18,72,PM2.5,Jersey City Firehouse,34-017-1003,AQS,11,33,.,72,53
1/20/18,56,PM2.5,PS 19,36-061-0128,AQS,13,39,21,56,45
1/21/18,67,PM2.5,HOLTSVILLE,36-103-0009,AQS,10,40,.,67,51
1/22/18,96,PM2.5,Fort Lee Near Road,34-003-0010,AQS,16,31,.,96,52
1/23/18,51,PM2.5,Newark Firehouse,34-013-0003,AQS,10,36,12,51,45
1/24/18,39,PM2.5,Intermediate School 143,36-061-0115,AQS,5,33,.,39,26
1/25/18,39,NO2,Fort Lee Near Road,34-003-0010,AQS,7,37,.,36,39
1/26/18,54,NO2,Elizabeth Lab,34-039-0004,AQS,13,34,16,53,54
1/27/18,52,PM2.5,Fort Lee Near Road,34-003-0010,AQS,20,39,.,52,39
1/28/18,52,PM2.5,Intermediate School 143,36-061-0115,AQS,7,29,.,52,34
1/29/18,56,PM2.5,PS 19,36-061-0128,AQS,15,31,12,56,41
1/30/18,43,PM2.5,Intermediate School 143,36-061-0115,AQS,6,31,.,43,39
1/31/18,67,NO2,Fort Lee Near Road,34-003-0010,AQS,8,32,.,38,67
2/1/18,66,NO2,Fort Lee Near Road,34-003-0010,AQS,11,28,25,58,66
2/2/18,45,PM2.5,Intermediate School 143,36-061-0115,AQS,10,35,.,45,38
2/3/18,41,PM2.5,Intermediate School 143,36-061-0115,AQS,9,31,.,41,31
2/4/18,50,NO2,Elizabeth Lab,34-039-0004,AQS,10,35,11,48,50
2/5/18,54,NO2,Fort Lee Near Road,34-003-0010,AQS,10,39,.,43,54
2/6/18,61,NO2,Fort Lee Near Road,34-003-0010,AQS,11,31,.,60,61
2/7/18,74,PM2.5,PS 19,36-061-0128,AQS,13,35,17,74,53
2/8/18,53,PM2.5,Intermediate School 143,36-061-0115,AQS,7,39,.,53,34
2/9/18,75,PM2.5,Elizabeth Lab,34-039-0004,AQS,11,35,.,75,50
2/10/18,84,PM2.5,Elizabeth Lab,34-039-0004,AQS,16,35,26,84,58
2/11/18,59,PM2.5,Fort Lee Near Road,34-003-0010,AQS,22,23,.,59,57
2/12/18,42,PM2.5,Intermediate School 143,36-061-0115,AQS,10,41,.,42,37
2/13/18,54,PM2.5,PS 19,36-061-0128,AQS,8,38,14,54,46
2/14/18,60,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,31,.,60,55
2/15/18,84,PM2.5,Fort Lee Near Road,34-003-0010,AQS,14,16,.,84,47
2/16/18,52,PM2.5,Elizabeth Lab,34-039-0004,AQS,13,37,6,52,41
2/17/18,51,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,37,.,51,48
2/18/18,53,NO2,Bayonne,34-017-0006,AQS,13,40,.,48,53
2/19/18,60,PM2.5,Fort Lee Near Road,34-003-0010,AQS,18,37,19,60,49
2/20/18,63,PM2.5,Fort Lee Near Road,34-003-0010,AQS,11,24,.,63,43
2/21/18,52,PM2.5,Fort Lee Near Road,34-003-0010,AQS,11,32,.,52,41
2/22/18,54,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,31,5,54,34
2/23/18,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,30,.,54,45
2/24/18,53,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,22,.,53,27
2/25/18,57,PM2.5,PS 19,36-061-0128,AQS,6,29,8,57,38
2/26/18,62,NO2,Fort Lee Near Road,34-003-0010,AQS,11,38,.,46,62
2/27/18,49,NO2,Fort Lee Near Road,34-003-0010,AQS,9,44,.,38,49
2/28/18,56,NO2,IS 52,36-005-0110,AQS,8,41,13,53,56
3/1/18,71,NO2,Elizabeth Lab,34-039-0004,AQS,11,42,.,69,71
3/2/18,39,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,6,39,.,26,24
3/3/18,37,Ozone,Chester,34-027-3001,AQS,8,37,6,32,19
3/4/18,41,Ozone,Chester,34-027-3001,AQS,7,41,.,20,11
3/5/18,42,PM2.5,Jersey City Firehouse,34-017-1003,AQS,9,37,.,42,35
3/6/18,113,PM2.5,PS 19,36-061-0128,AQS,13,42,11,113,42
3/7/18,45,PM2.5,PS 19,36-061-0128,AQS,9,39,.,45,31
3/8/18,76,NO2,Fort Lee Near Road,34-003-0010,AQS,15,40,.,34,76
3/9/18,40,PM2.5,DIVISION STREET,36-061-0134,AQS,5,38,13,40,30
3/10/18,42,Ozone,MT NINHAM,36-079-0005,AQS,8,42,.,32,36
3/11/18,43,Ozone,Flemington,34-019-0001,AQS,7,43,.,33,39
3/12/18,82,PM2.5,PS 19,36-061-0128,AQS,10,40,10,82,42
3/13/18,53,NO2,Fort Lee Near Road,34-003-0010,AQS,7,41,.,28,53
3/14/18,47,PM2.5,Toms River,34-029-2002,AQS,8,39,.,47,41
3/15/18,47,Ozone,MT NINHAM,36-079-0005,AQS,8,47,15,44,39
3/16/18,42,Ozone,Rockland County,36-087-0005,AQS,10,42,.,40,35
3/17/18,45,Ozone,Ramapo,34-031-5001,AQS,8,45,.,28,24
3/18/18,53,NO2,Bayonne,34-017-0006,AQS,8,45,.,26,53
3/19/18,65,NO2,Fort Lee Near Road,34-003-0010,AQS,15,44,.,54,65
3/20/18,55,NO2,Fort Lee Near Road,34-003-0010,AQS,9,40,.,52,55
3/21/18,53,PM2.5,PS 19,36-061-0128,AQS,11,41,12,53,28
3/22/18,72,NO2,Fort Lee Near Road,34-003-0010,AQS,13,45,.,35,72
3/23/18,77,NO2,Fort Lee Near Road,34-003-0010,AQS,5,43,.,28,77
3/24/18,44,Ozone,Flemington,34-019-0001,AQS,8,44,6,25,29
3/25/18,41,Ozone,RIVERHEAD,36-103-0004,AQS,8,41,.,30,23
3/26/18,63,PM2.5,PS 19,36-061-0128,AQS,11,45,.,63,58
3/27/18,53,NO2,Bayonne,34-017-0006,AQS,7,44,22,51,53
3/28/18,66,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,35,.,66,50
3/29/18,77,PM2.5,Fort Lee Near Road,34-003-0010,AQS,15,37,.,77,42
3/30/18,67,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,37,19,67,61
3/31/18,44,Ozone,Chester,34-027-3001,AQS,5,44,.,28,25
4/1/18,44,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,7,44,.,32,25
4/2/18,60,NO2,Fort Lee Near Road,34-003-0010,AQS,7,44,10,53,60
4/3/18,58,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,42,.,58,47
4/4/18,58,PM2.5,Jersey City Firehouse,34-017-1003,AQS,16,43,.,58,52
4/5/18,44,Ozone,Chester,34-027-3001,AQS,5,44,6,26,43
4/6/18,56,PM2.5,Fort Lee Near Road,34-003-0010,AQS,11,49,.,56,53
4/7/18,46,Ozone,RIVERHEAD,36-103-0004,AQS,8,46,.,28,17
4/8/18,43,Ozone,Colliers Mills,34-029-0006,AQS,5,43,7,28,17
4/9/18,43,Ozone,Chester,34-027-3001,AQS,9,43,.,35,41
4/10/18,62,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,43,.,62,42
4/11/18,58,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,50,19,58,57
4/12/18,73,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,51,.,73,55
4/13/18,97,Ozone,Chester,34-027-3001,AQS,8,97,.,66,55
4/14/18,97,Ozone,Flemington,34-019-0001,AQS,7,97,41,71,42
4/15/18,43,Ozone,Leonia,34-003-0006,AQS,3,43,.,42,14
4/16/18,46,NO2,Elizabeth Lab,34-039-0004,AQS,5,43,.,36,46
4/17/18,34,Ozone,Flemington,34-019-0001,AQS,6,34,3,24,22
4/18/18,43,NO2,Jersey City,34-017-1002,AQS,5,37,.,34,43
4/19/18,43,Ozone,Chester,34-027-3001,AQS,6,43,.,39,40
4/20/18,43,Ozone,Colliers Mills,34-029-0006,AQS,3,43,6,23,30
4/21/18,50,Ozone,Chester,34-027-3001,AQS,7,50,.,31,33
4/22/18,54,Ozone,Flemington,34-019-0001,AQS,5,54,.,33,44
4/23/18,67,Ozone,MILLBROOK,36-027-0007,AQS,9,67,.,60,60
4/24/18,67,Ozone,MILLBROOK,36-027-0007,AQS,9,67,.,55,63
4/25/18,49,Ozone,RIVERHEAD,36-103-0004,AQS,8,49,.,48,48
4/26/18,66,PM2.5,PS 19,36-061-0128,AQS,8,48,10,66,45
4/27/18,53,PM2.5,Elizabeth Lab,34-039-0004,AQS,10,46,.,53,51
4/28/18,74,Ozone,MILLBROOK,36-027-0007,AQS,23,74,.,65,41
4/29/18,42,Ozone,RIVERHEAD,36-103-0004,AQS,31,42,5,32,20
4/30/18,41,Ozone,Colliers Mills,34-029-0006,AQS,32,41,.,33,37
5/1/18,112,Ozone,Colliers Mills,34-029-0006,AQS,6,112,.,53,78
5/2/18,119,Ozone,Colliers Mills,34-029-0006,AQS,6,119,31,63,62
5/3/18,93,Ozone,Rutgers University,34-023-0011,AQS,6,93,.,61,60
5/4/18,74,Ozone,Flemington,34-019-0001,AQS,8,74,.,60,48
5/5/18,88,PM2.5,PS 19,36-061-0128,AQS,6,61,9,88,32
5/6/18,48,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,48,.,48,31
5/7/18,51,Ozone,Colliers Mills,34-029-0006,AQS,8,51,.,48,42
5/8/18,71,Ozone,MILLBROOK,36-027-0007,AQS,6,71,19,52,54
5/9/18,90,Ozone,Flemington,34-019-0001,AQS,6,90,.,56,60
5/10/18,49,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,48,.,49,47
5/11/18,54,Ozone,Chester,34-027-3001,AQS,7,54,9,40,48
5/12/18,46,Ozone,BABYLON,36-103-0002,AQS,6,46,.,39,31
5/13/18,38,Ozone,BABYLON,36-103-0002,AQS,7,38,.,35,24
5/14/18,62,PM2.5,Fort Lee Near Road,34-003-0010,AQS,36,41,18,62,43
5/15/18,74,Ozone,FRESHKILLS WEST,36-085-0111,AQS,6,74,.,73,33
5/16/18,48,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,41,.,48,42
5/17/18,56,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,31,7,56,47
5/18/18,52,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,42,.,52,39
5/19/18,33,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,31,.,33,31
5/20/18,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,40,14,45,29
5/21/18,58,Ozone,Rutgers University,34-023-0011,AQS,6,58,.,43,40
5/22/18,55,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,36,.,55,55
5/23/18,58,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,43,.,58,42
5/24/18,93,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,6,93,.,51,45
5/25/18,108,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,5,108,.,60,40
5/26/18,115,Ozone,RIVERHEAD,36-103-0004,AQS,7,115,27,66,49
5/27/18,52,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,46,.,52,42
5/28/18,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,31,.,45,26
5/29/18,115,Ozone,Ramapo,34-031-5001,AQS,8,115,.,65,54
5/30/18,60,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,58,.,60,43
5/31/18,57,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,35,.,57,33
6/1/18,69,PM2.5,BABYLON,36-103-0002,AQS,8,46,24,69,42
6/2/18,93,Ozone,Monmouth University,34-025-0005,AQS,6,93,15,62,40
6/3/18,40,PM2.5,Jersey City Firehouse,34-017-1003,AQS,5,29,.,40,13
6/4/18,43,NO2,Jersey City,34-017-1002,AQS,6,33,.,38,43
6/5/18,54,Ozone,Colliers Mills,34-029-0006,AQS,6,54,.,51,38
6/6/18,53,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,33,.,53,29
6/7/18,54,PM2.5,Paterson,34-031-0005,AQS,5,42,17,54,30
6/8/18,74,Ozone,Chester,34-027-3001,AQS,6,74,.,54,56
6/9/18,119,Ozone,Rutgers University,34-023-0011,AQS,6,119,.,55,34
6/10/18,50,PM2.5,Chester,34-027-3001,AQS,6,37,12,50,38
6/11/18,49,PM2.5,Jersey City Firehouse,34-017-1003,AQS,5,45,.,49,36
6/12/18,53,PM2.5,Jersey City Firehouse,34-017-1003,AQS,5,51,.,53,35
6/13/18,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,44,19,54,48
6/14/18,46,Ozone,Chester,34-027-3001,AQS,5,46,.,37,29
6/15/18,47,NO2,Elizabeth Lab,34-039-0004,AQS,5,40,.,44,47
6/16/18,61,Ozone,BABYLON,36-103-0002,AQS,5,61,11,48,39
6/17/18,115,Ozone,Bayonne,34-017-0006,AQS,6,115,.,56,31
6/18/18,133,Ozone,WHITE PLAINS,36-119-2004,AQS,6,133,.,71,35
6/19/18,53,PM2.5,PS 19,36-061-0128,AQS,5,47,16,53,27
6/20/18,101,Ozone,Rockland County,36-087-0005,AQS,6,101,.,53,38
6/21/18,101,Ozone,Colliers Mills,34-029-0006,AQS,6,101,.,51,51
6/22/18,52,PM2.5,Jersey City Firehouse,34-017-1003,AQS,6,45,13,52,32
6/23/18,50,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,32,.,50,33
6/24/18,63,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,46,.,63,32
6/25/18,38,PM2.5,Jersey City Firehouse,34-017-1003,AQS,3,38,13,38,28
6/26/18,50,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,5,50,.,33,29
6/27/18,38,Ozone,RIVERHEAD,36-103-0004,AQS,5,38,.,34,34
6/28/18,58,Ozone,Colliers Mills,34-029-0006,AQS,6,58,11,53,43
6/29/18,80,Ozone,Colliers Mills,34-029-0006,AQS,6,80,.,59,40
6/30/18,129,Ozone,PFIZER LAB SITE,36-005-0133,AQS,6,129,.,56,45
7/1/18,174,Ozone,Bayonne,34-017-0006,AQS,7,174,31,77,58
7/2/18,210,Ozone,Rockland County,36-087-0005,AQS,7,210,.,93,53
7/3/18,91,PM2.5,NEWBURGH,36-071-0002,AQS,7,90,.,91,51
7/4/18,90,Ozone,WHITE PLAINS,36-119-2004,AQS,14,90,21,89,32
7/5/18,57,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,41,.,57,22
7/6/18,38,PM2.5,Fort Lee Near Road,34-003-0010,AQS,3,37,.,38,24
7/7/18,51,Ozone,Flemington,34-019-0001,AQS,3,51,11,25,19
7/8/18,67,Ozone,Rutgers University,34-023-0011,AQS,6,67,.,43,27
7/9/18,129,Ozone,Leonia,34-003-0006,AQS,15,129,.,51,35
7/10/18,172,Ozone,Flax Pond,36-103-0044,AQS,5,172,18,58,42
7/11/18,71,Ozone,Colliers Mills,34-029-0006,AQS,5,71,.,56,28
7/12/18,74,Ozone,Flemington,34-019-0001,AQS,5,74,.,52,31
7/13/18,105,Ozone,Rockland County,36-087-0005,AQS,6,105,24,61,48
7/14/18,108,Ozone,Flax Pond,36-103-0044,AQS,5,108,.,54,22
7/15/18,84,Ozone,RIVERHEAD,36-103-0004,AQS,5,84,.,46,28
7/16/18,133,Ozone,Rutgers University,34-023-0011,AQS,6,133,20,64,46
7/17/18,64,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,61,.,64,31
7/18/18,48,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,47,.,48,23
7/19/18,87,Ozone,Flemington,34-019-0001,AQS,5,87,16,51,31
7/20/18,97,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,6,97,.,45,36
7/21/18,38,Ozone,Leonia,34-003-0006,AQS,5,38,.,34,23
7/22/18,38,PM2.5,Fort Lee Near Road,34-003-0010,AQS,5,38,17,38,11
7/23/18,52,PM2.5,Fort Lee Near Road,34-003-0010,AQS,5,31,.,52,29
7/24/18,49,PM2.5,Fort Lee Near Road,34-003-0010,AQS,5,24,.,49,18
7/25/18,43,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,32,15,43,26
7/26/18,58,Ozone,RIVERHEAD,36-103-0004,AQS,5,58,.,41,37
7/27/18,67,Ozone,Flemington,34-019-0001,AQS,7,67,.,60,43
7/28/18,126,Ozone,WHITE PLAINS,36-119-2004,AQS,7,126,14,65,35
7/29/18,54,Ozone,BABYLON,36-103-0002,AQS,5,54,.,38,25
7/30/18,51,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,43,.,51,39
7/31/18,71,Ozone,Rockland County,36-087-0005,AQS,8,71,19,49,36
8/1/18,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS,3,42,.,45,26
8/2/18,44,Ozone,WHITE PLAINS,36-119-2004,AQS,5,44,.,38,30
